"UniqueID","MovieChar","Scenes"
0,"qui-gon","61"
1,"nute gunray","24"
2,"pk-4","3"
3,"tc-14","4"
4,"obi-wan","147"
5,"dofine","3"
6,"rune","10"
7,"tey how","4"
8,"emperor","51"
9,"captain panaka","19"
10,"sio bibble","8"
11,"jar jar","41"
12,"tarpals","3"
13,"boss nass","4"
14,"padme","74"
15,"ric olie","11"
16,"watto","8"
17,"anakin","131"
18,"sebulba","3"
19,"jira","3"
20,"shmi","11"
21,"c-3po","150"
22,"darth maul","5"
23,"kitster","4"
24,"wald","3"
25,"fode/beed","11"
26,"jabba","7"
27,"greedo","3"
28,"valorum","3"
29,"mace windu","22"
30,"ki-adi-mundi","6"
31,"yoda","45"
32,"rabe","2"
33,"bail organa","23"
34,"general ceel","4"
35,"bravo two","5"
36,"bravo three","3"
37,"captain typho","6"
38,"senator ask aak","3"
39,"orn free taa","3"
40,"sola","3"
41,"jobal","3"
42,"ruwee","4"
43,"taun we","7"
44,"lama su","8"
45,"boba fett","10"
46,"jango fett","5"
47,"owen","10"
48,"beru","6"
49,"cliegg","3"
50,"count dooku","9"
51,"sun rit","3"
52,"poggle","3"
53,"plo koon","3"
54,"odd ball","4"
55,"general grievous","12"
56,"fang zar","3"
57,"mon mothma","4"
58,"giddean danu","2"
59,"clone commander gree","4"
60,"clone commander cody","4"
61,"tion medon","3"
62,"captain antilles","3"
63,"darth vader","58"
64,"luke","160"
65,"camie","3"
66,"biggs","18"
67,"leia","98"
68,"motti","3"
69,"tarkin","12"
70,"han","169"
71,"dodonna","3"
72,"gold leader","14"
73,"wedge","28"
74,"red leader","33"
75,"red ten","8"
76,"gold five","8"
77,"rieekan","7"
78,"derlin","3"
79,"zev","6"
80,"piett","12"
81,"ozzel","3"
82,"dack","4"
83,"janson","4"
84,"needa","3"
85,"lando","41"
86,"jerjerrod","3"
87,"bib fortuna","3"
88,"boushh","3"
89,"admiral ackbar","12"
90,"lor san tekka","4"
91,"poe","30"
92,"kylo ren","22"
93,"captain phasma","6"
94,"finn","63"
95,"unkar plutt","5"
96,"rey","56"
97,"general hux","14"
98,"lieutenant mitaka","3"
99,"bala-tik","4"
100,"snoke","4"
101,"maz","6"
102,"bb-8","2"
103,"snap","5"
104,"admiral statura","3"
105,"yolo ziff","3"
106,"colonel datoo","3"
107,"ello asty","4"
108,"jess","4"
109,"niv lek","3"
